playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,actualPoints,salary
2555311,Jerell Adams,NYG,TE,26,2,9,0.222759856630824,0,0.471172360248447,0.270351869976798,88,0.00999920053734069,23,0.471172360248447,NA,NA,NA,4.30803002960601,NA,NA,NA
2557896,Stacy Coley,MIN,WR,NA,1,10,0.222580692345197,0,0.381465957446809,0.189026012787955,169,0.0153239104698533,29,0.381465957446809,NA,130.5,13.9,7.76265347879854,NA,NA,NA
2543465,Teddy Bridgewater,NO,QB,26,4,6,0.222039476477398,0,0.626165764819193,0.312730340924164,50,0.00710622658786314,23,0.626165764819193,NA,NA,NA,4.45045078405949,NA,NA,NA
2550206,Ryan Hewitt,FA,RB,27,4,NA,0.22,0.22,0.22,NA,121,0.00933071384740133,29,0,NA,NA,NA,NA,NA,NA,NA
2556603,Tre Madden,SEA,RB,25,2,7,0.219362803432877,0,0.477725835866261,0.250920924411587,122,0.0202571695767629,30,0.477725835866261,NA,89.9,5.9,4.83323448816226,NA,NA,NA
2559242,Cooper Rush,DAL,QB,NA,1,8,0.21662621148273,0,0.442040994811236,0.27285549867209,51,0.0041749503881893,23,0.442040994811236,NA,NA,NA,4.3136635593638,NA,NA,NA
2560880,Durham Smythe,MIA,TE,NA,0,11,0.213754771544245,0.04,0.344455319148936,0.151472353627622,89,0.0113003164349759,24,0.304455319148936,NA,53.5,0.5,2.55401699314879,NA,NA,NA
2543497,AJ McCarron,OAK,QB,28,4,7,0.213240288296341,0,0.461558678597048,0.214124121599382,52,0.00199117832118695,23,0.461558678597048,NA,37.5,2.5,4.65026488146924,NA,NA,NA
2553667,Matt LaCosse,DEN,TE,NA,NA,10,0.211766540642722,0,0.372793920972644,0.220799305888756,90,0.0212719219801038,24,0.372793920972644,NA,68.5,12.5,6.88064047144953,NA,NA,NA
2557869,Chad Kelly,DEN,QB,24,1,10,0.211662233892741,-0.0758957475994512,0.547605958176459,0.468225852276407,53,0.00337365070384951,23,0.62350170577591,NA,NA,NA,4.98386479272316,NA,NA,NA
